date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:35	31035/31035	---M--	200	added ('OK')	image/jpeg	etag:%2255d762db-793b%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-4.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-4.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:39	258954/258954	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f6-3f38a%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/10.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/10.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:40	38616/38616	---M--	200	added ('OK')	image/jpeg	etag:%2255d762dc-96d8%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-5.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-5.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:41	10352/10352	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630c-2870%22	http://html.templines.com/sokolcov/garden-master/media/store/product-2.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-2.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:41	41050/41050	---M--	200	added ('OK')	image/jpeg	etag:%2255d762dc-a05a%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-6.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-6.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:41	8035/8035	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630b-1f63%22	http://html.templines.com/sokolcov/garden-master/media/store/product-1.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-1.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:43	6090/6090	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630f-17ca%22	http://html.templines.com/sokolcov/garden-master/media/store/product-8.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-8.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:43	8032/8032	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630c-1f60%22	http://html.templines.com/sokolcov/garden-master/media/store/product-3.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-3.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:49	35497/35497	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e1-8aa9%22	http://html.templines.com/sokolcov/garden-master/media/370x320/img-2.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x320/img-2.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:51	45303/45303	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e0-b0f7%22	http://html.templines.com/sokolcov/garden-master/media/370x320/img-1.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x320/img-1.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:51	41715/41715	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e1-a2f3%22	http://html.templines.com/sokolcov/garden-master/media/370x320/img-3.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x320/img-3.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:51	9306/9306	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630e-245a%22	http://html.templines.com/sokolcov/garden-master/media/store/product-7.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-7.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:52	8037/8037	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630c-1f65%22	http://html.templines.com/sokolcov/garden-master/media/store/product-4.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-4.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:53	10652/10652	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630d-299c%22	http://html.templines.com/sokolcov/garden-master/media/store/product-5.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-5.jpg	(from http://html.templines.com/sokolcov/garden-master/home-3.html)
20:40:57	32480/32480	---M--	200	added ('OK')	image/jpeg	etag:%2255d762da-7ee0%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-1.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-1.jpg	(from http://html.templines.com/sokolcov/garden-master/about.html)
20:40:57	31537/31537	---M--	200	added ('OK')	image/jpeg	etag:%2255d762db-7b31%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-2.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-2.jpg	(from http://html.templines.com/sokolcov/garden-master/about.html)
20:40:58	29365/29365	---M--	200	added ('OK')	image/jpeg	etag:%2255d762db-72b5%22	http://html.templines.com/sokolcov/garden-master/media/370x230/img-3.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/370x230/img-3.jpg	(from http://html.templines.com/sokolcov/garden-master/about.html)
20:40:58	8156/8156	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630e-1fdc%22	http://html.templines.com/sokolcov/garden-master/media/store/product-6.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-6.jpg	(from http://html.templines.com/sokolcov/garden-master/shop-1.html)
20:40:59	3340/3340	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630d-d0c%22	http://html.templines.com/sokolcov/garden-master/media/store/product-5-s.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-5-s.jpg	(from http://html.templines.com/sokolcov/garden-master/shop-1.html)
20:40:59	8121/8121	---M--	200	added ('OK')	image/jpeg	etag:%2255d7630f-1fb9%22	http://html.templines.com/sokolcov/garden-master/media/store/product-9.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/store/product-9.jpg	(from http://html.templines.com/sokolcov/garden-master/shop-1.html)
20:40:59	340898/340898	---M--	200	added ('OK')	image/png	etag:%2255d76301-533a2%22	http://html.templines.com/sokolcov/garden-master/media/home/men.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/home/men.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:41:01	29894/29894	---M--	200	added ('OK')	image/jpeg	etag:%2255d762d6-74c6%22	http://html.templines.com/sokolcov/garden-master/media/270x300/banner-1.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/270x300/banner-1.jpg	(from http://html.templines.com/sokolcov/garden-master/shop-1.html)
